DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VP
1531.2058,-999,0.1118,84.478,76.7745,4221.4277,45.009,35,2176.119,8.3383,-999,3750.7673,14.372,0.1276,0.1538,2568.8056,2055.1379,3.6872,1.7826,1,-6443.5767,0.1958,1,105.4554,1531.2578,0.0942,3608.04
1531.3582,-999,0.1086,87.8545,76.7737,4219.4255,42.2498,35,2176.2954,8.3383,-999,3751.0807,14.372,0.1143,0.1657,2700.1682,2049.3747,3.9475,1.7652,1,-6443.7285,0.2228,1,105.4588,1531.3828,0.1009,3469.3727
1531.5106,-999,0.1017,90.4119,76.7729,4219.4337,38.7844,35,2176.4717,8.3383,-999,3751.3918,14.3721,0.0998,0.1725,2787.1066,2048.5342,4.3285,1.7526,1,-6443.8804,0.2433,1,105.4621,1531.5078,0.1096,3371.2376
1531.663,-999,0.0905,81.2501,76.7721,4220.5987,35.6189,35,2176.6481,8.3383,-999,3751.7114,14.3721,0.0998,0.1302,2422.9819,2050.4843,4.769,1.8,1,-6444.0317,0.17,1,105.4654,1531.6328,0.1162,3751.38
1531.8154,-999,0.0848,76.1978,76.7713,4223.3666,35.4618,35,2176.8244,8.3383,-999,3752.0361,14.3722,0.1075,0.1072,2140.9883,2056.423,5.2392,1.8291,1,-6444.1836,0.1296,1,105.4688,1531.7578,0.1151,4000.1155
1531.9678,-999,0.0875,77.0091,76.7705,4226.4229,37.0779,35,2177.1771,8.3383,-999,3752.6839,14.3723,0.114,0.1118,2191.7754,2062.3656,5.4492,1.8243,1,-6444.4868,0.1361,1,105.4721,1532.0078,0.1007,3957.9738
1532.1202,-999,0.0916,78.3294,76.7697,4228.9426,42.4853,35,2177.3535,8.3383,-999,3753.0064,14.3724,0.1163,0.1191,2269.6142,2067.7682,5.1089,1.8166,1,-6444.6387,0.1466,1,105.4754,1532.1328,0.0968,3891.2592
1532.2726,-999,0.0966,78.6531,76.7689,4230.9313,45.624,35,2177.5298,8.3383,-999,3753.3285,14.3724,0.1239,0.1229,2288.0858,2071.8911,4.9251,1.8147,1,-6444.79,0.1492,1,105.4787,1532.2578,0.0939,3875.2446
1532.425,-999,0.0961,79.5798,76.7681,4231.5232,45.2342,35,2177.7061,8.3383,-999,3753.6498,14.3725,0.1206,0.1264,2338.915,2072.4554,4.9388,1.8094,1,-6444.9419,0.1566,1,105.4821,1532.3828,0.0899,3830.1177
1532.5774,-999,0.0931,79.4819,76.7673,4231.9185,43.1061,35,2178.0588,8.3383,-999,3754.2924,14.3726,0.1162,0.1245,2334.1064,2071.7671,5.005,1.8099,1,-6445.2451,0.1559,1,105.4854,1532.6328,0.0907,3834.8354
