DEPTH,AC,CAL,CALI,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PPP,RES_DEEP,RHOB_combined,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1107.62,104.7,-0.13,-0.13,0.2175,104.7,81.7649,2747.8889,27.46,38,1563.8339,8.2839,17.6088,-999.25,3426.425,18.1504,-999.25,1825.0129,5.5,2.2737,1,16.52,-999.25,-999.25,111.6189,1107.6432,0.0567,-999.25,2911.9202
1107.7724,104.25,-0.14,-0.14,0.2159,104.25,81.7614,2747.7942,28.07,38,1564.049,8.2839,17.6088,-999.25,3426.9177,18.1505,-999.25,1824.0167,5.52,2.2762,1,16.51,-999.25,-999.25,111.6229,1107.7957,0.0618,-999.25,2924.4897
1107.9248,102.58,-0.16,-0.16,0.2097,102.58,81.7579,2747.6836,30.29,38,1564.2639,8.2839,17.6088,-999.25,3427.4124,18.1507,-999.25,1822.9799,5.66,2.2854,1,16.47,-999.25,-999.25,111.627,1107.948,0.0812,-999.25,2972.1003
1108.0772,101.81,-0.1,-0.1,0.2069,101.81,81.7544,2747.4553,30.89,38,1564.4789,8.2839,17.6088,-999.25,3427.908,18.1508,-999.25,1821.6638,5.86,2.2897,1,16.45,-999.25,-999.25,111.6311,1108.1003,0.0866,-999.25,2994.5786
1108.2296,100.8,-0.03,-0.03,0.2031,100.8,81.7508,2746.9033,30.72,38,1564.6938,8.2839,17.6088,-999.25,3428.4048,18.1509,-999.25,1819.5818,6.16,2.2954,1,16.43,-999.25,-999.25,111.6352,1108.2528,0.0851,-999.25,3024.5837
1108.382,99.8,-0.01,-0.01,0.1992,99.8,81.7473,2746.1392,30.36,38,1564.9089,8.2839,17.6088,-999.25,3428.9028,18.1511,-999.25,1816.9968,6.32,2.3012,1,16.4,-999.25,-999.25,111.6392,1108.4052,0.0818,-999.25,3054.8904
1108.5344,95.04,0.09,0.09,0.1804,95.04,81.7438,2745.312,28.88,38,1565.1239,8.2839,17.6088,-999.25,3429.407,18.1512,-999.25,1814.2543,6.99,2.3294,1,16.29,-999.25,-999.25,111.6433,1108.5576,0.0688,-999.25,3207.8918
1108.6868,90.14,0.15,0.15,0.1597,90.14,81.7403,2744.573,27.9,38,1565.3389,8.2839,17.6088,-999.25,3429.918,18.1515,-999.25,1811.7108,7.46,2.3605,1,16.18,-999.25,-999.25,111.6474,1108.71,0.0604,-999.25,3382.2727
1108.8392,84.73,0.18,0.18,0.1351,84.73,81.7368,2744.0652,27.03,38,1565.554,8.2839,17.6088,-999.25,3430.437,18.1517,-999.25,1809.7013,7.92,2.3973,1,16.06,-999.25,-999.25,111.6515,1108.8624,0.0531,-999.25,3598.2302
1108.9916,83.16,0.17,0.17,0.1277,83.16,81.7332,2743.585,26.76,38,1565.7689,8.2839,17.6088,-999.25,3430.9583,18.152,-999.25,1807.7535,8.06,2.4085,1,16.03,-999.25,-999.25,111.6555,1109.0148,0.0509,-999.25,3666.1621
