DEPTH,AC,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1075.625,84.52,-999,0.1341,84.52,76.2408,2695.6955,48.27,42,1519.1384,8.2867,9.8476,-999,3284.9805,17.9192,0.1391,0.1651,1772.1392,1914.4413,5.7,2.3988,1,17.13,0.1962,1,140.2055,1075.625,0.2146,-999,3607.1705
1075.75,87.1,-999,0.1461,87.1,76.2384,2697.1291,48,42,1519.3147,8.2867,9.8476,-999,3285.4032,17.9194,0.154,0.1815,1839.1448,1917.1427,5.7,2.3808,1,16.91,0.2168,1,140.2091,1075.75,0.2121,-999,3500.322
1075.875,88.93,-999,0.1543,88.93,76.2361,2698.1645,48.33,42,1519.491,8.2867,9.8476,-999,3285.8236,17.9196,0.1632,0.1929,1883.8475,1918.921,5.7,2.3685,1,16.74,0.2314,1,140.2127,1075.875,0.2152,-999,3428.2925
1076,88.93,-999,0.1543,88.93,76.2337,2698.6711,48.15,42,1519.6674,8.2867,9.8476,-999,3286.2441,17.9198,0.1636,0.1929,1884.1382,1919.4694,5.7,2.3685,1,16.53,0.2314,1,140.2163,1076,0.2135,-999,3428.2925
1076.125,88.73,-999,0.1535,88.73,76.2314,2698.5705,47.71,42,1519.8437,8.2867,9.8476,-999,3286.6649,17.92,0.1635,0.1917,1879.6859,1918.605,5.7,2.3698,1,16.53,0.2298,1,140.22,1076.125,0.2095,-999,3436.0199
1076.25,88.53,-999,0.1526,88.53,76.2291,2697.8415,46.81,42,1520.0201,8.2867,9.8476,-999,3287.0858,17.9202,0.1643,0.1904,1875.2056,1916.2782,5.7,2.3711,1,16.53,0.2282,1,140.2236,1076.25,0.2013,-999,3443.7823
1076.375,88.4,-999,0.152,88.4,76.2267,2696.6359,45.88,42,1520.1964,8.2867,9.8476,-999,3287.5069,17.9204,0.1652,0.1896,1872.3803,1912.8421,5.7,2.372,1,16.53,0.2272,1,140.2272,1076.375,0.193,-999,3448.8467
1076.5,88.13,-999,0.1508,88.13,76.2244,2695.1768,45.52,42,1520.3728,8.2867,9.8476,-999,3287.9284,17.9207,0.1646,0.1879,1866.1619,1908.8155,5.7,2.3738,1,16.53,0.225,1,140.2308,1076.5,0.1898,-999,3459.4128
1076.625,87.6,-999,0.1484,87.6,76.2221,2693.4471,45.81,42,1520.5491,8.2867,9.8476,-999,3288.3504,17.9209,0.1613,0.1846,1853.5275,1904.1579,5.7,2.3774,1,16.53,0.2208,1,140.2345,1076.625,0.1923,-999,3480.343
1076.75,86.02,-999,0.1412,86.02,76.2197,2691.7569,46.4,42,1520.7255,8.2867,9.8476,-999,3288.7744,17.9211,0.1514,0.1747,1814.1,1899.589,5.7,2.3882,1,16.53,0.2082,1,140.2381,1076.75,0.1976,-999,3544.2693
1076.875,84.38,-999,0.1335,84.38,76.2174,2690.214,47.25,42,1520.9018,8.2867,9.8476,-999,3289.2005,17.9214,0.1404,0.1643,1771.1806,1895.3598,5.65,2.3998,1,16.53,0.195,1,140.2417,1076.875,0.2053,-999,3613.1554
1077,82.96,-999,0.1267,82.96,76.2151,2688.7624,47.52,42,1521.0782,8.2867,9.8476,-999,3289.6283,17.9216,0.1317,0.1552,1732.3172,1891.3402,5.61,2.41,1,16.53,0.1837,1,140.2453,1077,0.2077,-999,3675.0006
1077.125,82.82,-999,0.126,82.82,76.2127,2687.4452,47.81,42,1521.2545,8.2867,9.8476,-999,3290.0564,17.9219,0.1303,0.1543,1728.6446,1887.6326,5.57,2.411,1,16.53,0.1826,1,140.249,1077.125,0.2104,-999,3681.2129
1077.25,83.9,-999,0.1312,83.9,76.2104,2686.1922,48.23,42,1521.4308,8.2867,9.8476,-999,3290.483,17.9221,0.1356,0.1612,1758.9761,1884.0758,5.52,2.4032,1,16.53,0.1912,1,140.2526,1077.25,0.2142,-999,3633.8266
1077.375,85.63,-999,0.1393,85.63,76.208,2684.9873,48.7,42,1521.6072,8.2867,9.8476,-999,3290.9075,17.9223,0.1444,0.1722,1805.4377,1880.6334,5.48,2.391,1,16.62,0.205,1,140.2562,1077.375,0.2186,-999,3560.4116
1077.5,87.34,-999,0.1472,87.34,76.2057,2683.9702,48.35,42,1521.7835,8.2867,9.8476,-999,3291.3299,17.9226,0.1546,0.183,1849.137,1877.6305,5.44,2.3792,1,16.79,0.2187,1,140.2598,1077.5,0.2153,-999,3490.7036
1077.625,88.4,-999,0.152,88.4,76.2034,2683.1199,47.98,42,1521.9599,8.2867,9.8476,-999,3291.751,17.9228,0.1611,0.1896,1875.2889,1875.0172,5.38,2.372,1,16.95,0.2272,1,140.2635,1077.625,0.2119,-999,3448.8467
1077.75,88.4,-999,0.152,88.4,76.201,2682.3278,46.66,42,1522.1362,8.2867,9.8476,-999,3292.1721,17.923,0.1639,0.1896,1875.5796,1872.5392,5.31,2.372,1,17.08,0.2272,1,140.2671,1077.75,0.1999,-999,3448.8467
1077.875,87.87,-999,0.1496,87.87,76.1987,2681.4849,45.17,42,1522.3126,8.2867,9.8476,-999,3292.5939,17.9232,0.1639,0.1863,1863.0332,1869.9417,5.24,2.3756,1,17.11,0.223,1,140.2707,1077.875,0.1867,-999,3469.6489
1078,87.57,-999,0.1483,87.57,76.1964,2680.4783,43.8,42,1522.4889,8.2867,9.8476,-999,3293.016,17.9234,0.1644,0.1844,1855.969,1866.9623,5.17,2.3776,1,17.44,0.2206,1,140.2744,1078,0.1747,-999,3481.5353
1078.125,87.08,-999,0.1461,87.08,76.194,2679.2197,43.95,42,1522.6653,8.2867,9.8476,-999,3293.4387,17.9236,0.162,0.1814,1844.1103,1863.3951,5.1,2.3809,1,17.59,0.2166,1,140.278,1078.125,0.176,-999,3501.126
1078.25,87.72,-999,0.1489,87.72,76.1917,2677.8113,46.03,42,1522.8416,8.2867,9.8476,-999,3293.8606,17.9239,0.1615,0.1853,1860.2316,1859.4797,5.1,2.3766,1,17.55,0.2218,1,140.2816,1078.25,0.1943,-999,3475.582
1078.375,88.98,-999,0.1546,88.98,76.1894,2676.3547,48.07,42,1523.018,8.2867,9.8476,-999,3294.281,17.9241,0.1641,0.1932,1890.8665,1855.4535,5.11,2.3681,1,17.25,0.2318,1,140.2852,1078.375,0.2128,-999,3426.366
1078.5,90.32,-999,0.1605,90.32,76.187,2675.0499,49.97,42,1523.1943,8.2867,9.8476,-999,3294.6999,17.9243,0.1672,0.2015,1922.2765,1851.7824,5.12,2.3593,1,17.14,0.2426,1,140.2889,1078.5,0.2305,-999,3375.532
1078.625,91.6,-999,0.166,91.6,76.1847,2673.8652,50.64,42,1523.3706,8.2867,9.8476,-999,3295.1172,17.9245,0.1722,0.2094,1951.2386,1848.3926,5.13,2.351,1,17.03,0.2528,1,140.2925,1078.625,0.2369,-999,3328.363
1078.75,91.6,-999,0.166,91.6,76.1824,2672.7917,50.45,42,1523.547,8.2867,9.8476,-999,3295.5346,17.9247,0.1725,0.2094,1951.5351,1845.2614,5.14,2.351,1,16.92,0.2528,1,140.2961,1078.75,0.235,-999,3328.363
1078.875,90.53,-999,0.1614,90.53,76.18,2671.7596,49.19,42,1523.7233,8.2867,9.8476,-999,3295.9532,17.9249,0.1698,0.2028,1927.9313,1842.2246,5.16,2.3579,1,16.81,0.2442,1,140.2997,1078.875,0.2231,-999,3367.7019
1079,89.12,-999,0.1552,89.12,76.1777,2670.6462,48.28,42,1523.8997,8.2867,9.8476,-999,3296.3735,17.9251,0.1644,0.1941,1895.6293,1838.9959,5.17,2.3672,1,16.8,0.233,1,140.3034,1079,0.2147,-999,3420.9835
1079.125,87.5,-999,0.1479,87.5,76.1753,2669.4818,48.56,42,1524.076,8.2867,9.8476,-999,3296.7957,17.9253,0.155,0.184,1856.8382,1835.6453,5.18,2.3781,1,16.8,0.22,1,140.307,1079.125,0.2173,-999,3484.3206
1079.25,85.87,-999,0.1405,85.87,76.173,2668.4421,49.28,42,1524.2524,8.2867,9.8476,-999,3297.2199,17.9255,0.1445,0.1737,1815.9287,1832.5824,5.2,2.3893,1,16.8,0.207,1,140.3106,1079.25,0.224,-999,3550.4606
1079.375,84.4,-999,0.1336,84.4,76.1707,2667.522,49.85,42,1524.4287,8.2867,9.8476,-999,3297.6459,17.9258,0.135,0.1644,1777.3431,1829.7951,5.21,2.3996,1,16.8,0.1952,1,140.3142,1079.375,0.2294,-999,3612.2992
